id,name,price,stockQuantity
P0001,Sản phẩm 1,90491.9,159
P0002,Sản phẩm 2,49508.57,158
P0003,Sản phẩm 3,16013.1,156
P0004,Sản phẩm 4,87858.1,311
P0005,Sản phẩm 5,11535.41,218
P0006,Sản phẩm 6,69017.0,273
P0007,Sản phẩm 7,37824.03,365
P0008,Sản phẩm 8,18830.34,115
P0009,Sản phẩm 9,1223.59,429
P0010,Sản phẩm 10,59796.15,187
P0011,Sản phẩm 11,5401.69,157
P0012,Sản phẩm 12,84584.19,187
P0013,Sản phẩm 13,55018.21,459
P0014,Sản phẩm 14,94943.4,80
P0015,Sản phẩm 15,37911.49,31
P0016,Sản phẩm 16,73010.36,77
P0017,Sản phẩm 17,97138.02,360
P0018,Sản phẩm 18,70347.32,263
P0019,Sản phẩm 19,96863.36,338
P0020,Sản phẩm 20,24383.63,141
P0021,Sản phẩm 21,6510.26,446
P0022,Sản phẩm 22,32839.18,362
P0023,Sản phẩm 23,91584.95,250
P0024,Sản phẩm 24,42229.62,86
P0025,Sản phẩm 25,54199.58,139
P0026,Sản phẩm 26,81445.09,462
P0027,Sản phẩm 27,61579.97,242
P0028,Sản phẩm 28,74014.56,455
P0029,Sản phẩm 29,33153.23,166
P0030,Sản phẩm 30,53799.24,356
P0031,Sản phẩm 31,48127.84,410
P0032,Sản phẩm 32,63997.92,73
P0033,Sản phẩm 33,21374.01,242
P0034,Sản phẩm 34,29065.17,481
P0035,Sản phẩm 35,3237.63,305
P0036,Sản phẩm 36,85663.76,334
P0037,Sản phẩm 37,8496.27,155
P0038,Sản phẩm 38,7969.99,249
P0039,Sản phẩm 39,1760.33,52
P0040,Sản phẩm 40,29613.45,24
P0041,Sản phẩm 41,1598.99,263
P0042,Sản phẩm 42,83573.51,416
P0043,Sản phẩm 43,69700.87,368
P0044,Sản phẩm 44,26749.33,15
P0045,Sản phẩm 45,73521.72,450
P0046,Sản phẩm 46,44199.48,185
P0047,Sản phẩm 47,61417.91,210
P0048,Sản phẩm 48,48960.2,357
P0049,Sản phẩm 49,13104.79,411
P0050,Sản phẩm 50,50001.15,111
P0051,Sản phẩm 51,7992.53,367
P0052,Sản phẩm 52,72374.67,276
P0053,Sản phẩm 53,79578.78,357
P0054,Sản phẩm 54,22660.19,434
P0055,Sản phẩm 55,37201.81,355
P0056,Sản phẩm 56,32314.42,245
P0057,Sản phẩm 57,37606.82,182
P0058,Sản phẩm 58,21474.99,15
P0059,Sản phẩm 59,74200.37,500
P0060,Sản phẩm 60,76679.14,124
P0061,Sản phẩm 61,78709.26,90
P0062,Sản phẩm 62,43982.89,33
P0063,Sản phẩm 63,99455.71,44
P0064,Sản phẩm 64,47871.72,95
P0065,Sản phẩm 65,99894.59,435
P0066,Sản phẩm 66,28781.04,98
P0067,Sản phẩm 67,31587.68,343
P0068,Sản phẩm 68,45237.53,211
P0069,Sản phẩm 69,16392.19,399
P0070,Sản phẩm 70,97087.25,462
P0071,Sản phẩm 71,92767.65,463
P0072,Sản phẩm 72,13367.58,277
P0073,Sản phẩm 73,61995.44,307
P0074,Sản phẩm 74,36068.79,398
P0075,Sản phẩm 75,45055.56,124
P0076,Sản phẩm 76,93159.17,407
P0077,Sản phẩm 77,64055.67,422
P0078,Sản phẩm 78,29480.35,262
P0079,Sản phẩm 79,89110.96,202
P0080,Sản phẩm 80,81192.62,415
P0081,Sản phẩm 81,62368.15,175
P0082,Sản phẩm 82,86263.45,64
P0083,Sản phẩm 83,19192.43,119
P0084,Sản phẩm 84,52433.44,460
P0085,Sản phẩm 85,7817.7,339
P0086,Sản phẩm 86,57500.42,263
P0087,Sản phẩm 87,55536.11,346
P0088,Sản phẩm 88,92018.23,138
P0089,Sản phẩm 89,63837.44,255
P0090,Sản phẩm 90,88420.96,50
P0091,Sản phẩm 91,15646.98,63
P0092,Sản phẩm 92,56299.76,347
P0093,Sản phẩm 93,94505.45,419
P0094,Sản phẩm 94,27023.75,60
P0095,Sản phẩm 95,79040.44,35
P0096,Sản phẩm 96,81311.08,80
P0097,Sản phẩm 97,33281.72,240
P0098,Sản phẩm 98,49954.0,245
P0099,Sản phẩm 99,17139.31,379
P0100,Sản phẩm 100,18342.88,251
P0101,Sản phẩm 101,6502.46,96
P0102,Sản phẩm 102,58793.96,477
P0103,Sản phẩm 103,97933.43,121
P0104,Sản phẩm 104,56873.11,219
P0105,Sản phẩm 105,27082.47,433
P0106,Sản phẩm 106,80298.84,341
P0107,Sản phẩm 107,95856.12,463
P0108,Sản phẩm 108,54275.24,342
P0109,Sản phẩm 109,1022.07,363
P0110,Sản phẩm 110,20593.36,172
P0111,Sản phẩm 111,72770.4,92
P0112,Sản phẩm 112,87528.96,179
P0113,Sản phẩm 113,50764.87,334
P0114,Sản phẩm 114,98469.71,426
P0115,Sản phẩm 115,10028.1,420
P0116,Sản phẩm 116,66978.73,85
P0117,Sản phẩm 117,46569.64,60
P0118,Sản phẩm 118,99774.7,21
P0119,Sản phẩm 119,59598.25,407
P0120,Sản phẩm 120,87961.75,74
P0121,Sản phẩm 121,2837.33,317
P0122,Sản phẩm 122,42481.55,267
P0123,Sản phẩm 123,24064.1,86
P0124,Sản phẩm 124,77641.6,388
P0125,Sản phẩm 125,97202.7,478
P0126,Sản phẩm 126,43998.18,200
P0127,Sản phẩm 127,28099.26,492
P0128,Sản phẩm 128,1860.47,341
